"sdt_parameter","coef","Coefficient","p_val","Std_Coefficient","Std_Coefficient_CI_low","Std_Coefficient_CI_high"
"hradj","Phase[Post]",0.0469,0.0414,0.2481,0.0098,0.4864
"hradj","Group[SZ]",0.0931,0.0302,0.4925,0.0478,0.9372
"hradj","Interaction",-0.0108,0.6939,-0.0569,-0.3418,0.228
"fradj","Phase[Post]",0.0901,0.0056,0.426,0.1261,0.7259
"fradj","Group[SZ]",0.0474,0.3248,0.2243,-0.224,0.6725
"fradj","Interaction",-0.0176,0.6468,-0.0834,-0.4418,0.2751
"dprime","Phase[Post]",-0.1297,0.4506,-0.1088,-0.3927,0.1752
"dprime","Group[SZ]",0.2173,0.4303,0.1822,-0.2727,0.6372
"dprime","Interaction",0.1249,0.5432,0.1047,-0.2346,0.4441
"c","Phase[Post]",-0.3375,7e-04,-0.4759,-0.7486,-0.2033
"c","Group[SZ]",-0.3612,0.0241,-0.5094,-0.9513,-0.0675
"c","Interaction",0.1317,0.2622,0.1857,-0.1401,0.5116
"pcorrect","Phase[Post]",-0.0214,0.2655,-0.1655,-0.4578,0.1269
"pcorrect","Group[SZ]",0.0233,0.4346,0.1805,-0.2743,0.6352
"pcorrect","Interaction",0.0043,0.8515,0.0332,-0.3162,0.3826
"preport","Phase[Post]",0.07,9e-04,0.4446,0.1849,0.7044
"preport","Group[SZ]",0.0713,0.0441,0.4532,0.0121,0.8943
"preport","Interaction",-0.0144,0.5614,-0.0915,-0.402,0.2189
