version,var,type,factor,frequency,percentage,N,mean,sd,min,max
all,age,1,,,,90,40.61855556,10.75521693,19.66,61.94
all,demo_gender,0,1,46,51.11111111,,,,,
all,demo_gender,0,2,43,47.77777778,,,,,
all,demo_gender,0,3,1,1.111111111,,,,,
all,race,0,1,42,46.66666667,,,,,
all,race,0,2,35,38.88888889,,,,,
all,race,0,3,7,7.777777778,,,,,
all,race,0,4,6,6.666666667,,,,,
all,parent_school,1,,,,87,15.01149425,3.063264154,5,22
all,participant_school,1,,,,90,14.35,3.423686495,1.5,25
all,bprs_total,1,,,,62,44,10.96641669,24,82
all,bprs_pos,1,,,,63,10.92063492,5.700315745,4,23
all,bprs_neg,1,,,,63,5.777777778,2.887372086,3,14
all,bprs_disorg,1,,,,63,5.126984127,1.650924116,4,10
all,bprs_depression,1,,,,63,5.682539683,2.752274114,3,14
all,bprs_mania,1,,,,63,4.841269841,1.416565009,4,10
all,pcorrect_pre,1,,,,90,0.871481481,0.12617103,0.5,1
all,pcorrect_post,1,,,,90,0.85308642,0.132475159,0.5,1
all,preport_pre,1,,,,90,0.496419753,0.153199817,0,1
all,preport_post,1,,,,90,0.556296296,0.156549349,0.1,1
all,dprime_pre,1,,,,90,2.958889082,1.172731591,0,4.573095903
all,dprime_post,1,,,,90,2.916615844,1.217741465,0,4.573095903
all,c_pre,1,,,,90,-0.028471535,0.711937752,-2.286547951,2.286547951
all,c_post,1,,,,90,-0.273767422,0.6885238,-2.286547951,1.564084592
all,fradj_pre,1,,,,90,0.128271605,0.177114564,0.011111111,0.988888889
all,fradj_post,1,,,,90,0.206049383,0.23577382,0.011111111,0.988888889
all,hradj_pre,1,,,,90,0.863950617,0.212302382,0.011111111,0.988888889
all,hradj_post,1,,,,90,0.903333333,0.161423564,0.2,0.988888889
all,missadj_pre,1,,,,90,0.136049383,0.212302382,0.011111111,0.988888889
all,missadj_post,1,,,,90,0.096666667,0.161423564,0.011111111,0.8
sz,age,1,,,,63,42.25285714,10.79793326,19.66,61.94
sz,demo_gender,0,1,31,49.20634921,,,,,
sz,demo_gender,0,2,31,49.20634921,,,,,
sz,demo_gender,0,3,1,1.587301587,,,,,
sz,race,0,1,31,49.20634921,,,,,
sz,race,0,2,27,42.85714286,,,,,
sz,race,0,3,3,4.761904762,,,,,
sz,race,0,4,2,3.174603175,,,,,
sz,parent_school,1,,,,61,14.93442623,2.68867286,9,22
sz,participant_school,1,,,,63,13.73809524,3.331009174,1.5,25
sz,bprs_total,1,,,,62,44,10.96641669,24,82
sz,bprs_pos,1,,,,63,10.92063492,5.700315745,4,23
sz,bprs_neg,1,,,,63,5.777777778,2.887372086,3,14
sz,bprs_disorg,1,,,,63,5.126984127,1.650924116,4,10
sz,bprs_depression,1,,,,63,5.682539683,2.752274114,3,14
sz,bprs_mania,1,,,,63,4.841269841,1.416565009,4,10
sz,pcorrect_pre,1,,,,63,0.878483245,0.128277393,0.5,1
sz,pcorrect_post,1,,,,63,0.861375661,0.136664731,0.5,1
sz,preport_pre,1,,,,63,0.517813051,0.15106867,0,1
sz,preport_post,1,,,,63,0.573368607,0.150976375,0.144444444,1
sz,dprime_pre,1,,,,63,3.02406847,1.203225479,0,4.573095903
sz,dprime_post,1,,,,63,3.019260602,1.244134721,0,4.573095903
sz,c_pre,1,,,,63,-0.136844013,0.705243932,-2.286547951,2.286547951
sz,c_post,1,,,,63,-0.342625496,0.664403669,-2.286547951,1.421590786
sz,fradj_pre,1,,,,63,0.142504409,0.19496387,0.011111111,0.988888889
sz,fradj_post,1,,,,63,0.214991182,0.252397179,0.011111111,0.988888889
sz,hradj_pre,1,,,,63,0.891887125,0.195093197,0.011111111,0.988888889
sz,hradj_post,1,,,,63,0.928042328,0.129451515,0.288888889,0.988888889
sz,missadj_pre,1,,,,63,0.108112875,0.195093197,0.011111111,0.988888889
sz,missadj_post,1,,,,63,0.071957672,0.129451515,0.011111111,0.711111111
hc,age,1,,,,27,36.80518519,9.816072523,19.82,58.38
hc,demo_gender,0,1,15,55.55555556,,,,,
hc,demo_gender,0,2,12,44.44444444,,,,,
hc,race,0,1,11,40.74074074,,,,,
hc,race,0,2,8,29.62962963,,,,,
hc,race,0,3,4,14.81481481,,,,,
hc,race,0,4,4,14.81481481,,,,,
hc,parent_school,1,,,,26,15.19230769,3.857659713,5,22
hc,participant_school,1,,,,27,15.77777778,3.262058497,12,25
hc,bprs_total,1,,,,0,NaN,,Inf,#NAME?
hc,bprs_pos,1,,,,0,NaN,,Inf,#NAME?
hc,bprs_neg,1,,,,0,NaN,,Inf,#NAME?
hc,bprs_disorg,1,,,,0,NaN,,Inf,#NAME?
hc,bprs_depression,1,,,,0,NaN,,Inf,#NAME?
hc,bprs_mania,1,,,,0,NaN,,Inf,#NAME?
hc,pcorrect_pre,1,,,,27,0.855144033,0.121890828,0.533333333,1
hc,pcorrect_post,1,,,,27,0.833744856,0.122396204,0.6,1
hc,preport_pre,1,,,,27,0.446502058,0.149072378,0.033333333,0.688888889
hc,preport_post,1,,,,27,0.516460905,0.164872692,0.1,0.833333333
hc,dprime_pre,1,,,,27,2.806803844,1.10503907,0.785462005,4.573095903
hc,dprime_post,1,,,,27,2.67711141,1.140125283,0.869476261,4.573095903
hc,c_pre,1,,,,27,0.224397581,0.673877538,-0.878263835,1.893816949
hc,c_post,1,,,,27,-0.113098584,0.729259036,-1.358637625,1.564084592
hc,fradj_pre,1,,,,27,0.095061728,0.122893778,0.011111111,0.4
hc,fradj_post,1,,,,27,0.185185185,0.194242875,0.011111111,0.666666667
hc,hradj_pre,1,,,,27,0.798765432,0.23920836,0.066666667,0.988888889
hc,hradj_post,1,,,,27,0.845679012,0.210487909,0.2,0.988888889
hc,missadj_pre,1,,,,27,0.201234568,0.23920836,0.011111111,0.933333333
hc,missadj_post,1,,,,27,0.154320988,0.210487909,0.011111111,0.8
